"ID" "item" "session" "res" "correct" "type" "trial" "RT" "score" "origin" "quality" "group" "twice"
"ad8f3df7" "lita1lita1" 1 0 1 "lita" "same" 4209 1 "native" "good" 5 FALSE
"a490ba35" "guta8guta1" 0 1 1 "guta" "diff" 4615 1 "native" "good" 5 FALSE
"a490ba35" "guta8guta8" 0 0 1 "guta" "same" 3956 1 "native" "good" 5 FALSE
"a490ba35" "guta1guta1" 0 0 1 "guta" "same" 4205 1 "native" "good" 5 FALSE
"a490ba35" "guta1guta8" 0 1 1 "guta" "diff" 3766 1 "native" "good" 5 FALSE
"a490ba35" "lita1lita8" 0 1 1 "lita" "diff" 4048 1 "native" "good" 5 FALSE
"a490ba35" "lita1lita1" 0 0 1 "lita" "same" 3706 1 "native" "good" 5 FALSE
"a490ba35" "lita8lita8" 0 0 1 "lita" "same" 3877 1 "native" "good" 5 FALSE
"a490ba35" "lita8lita1" 0 1 1 "lita" "diff" 3588 1 "native" "good" 5 FALSE
"a490ba35" "guta1guta1" 1 0 1 "guta" "same" 3621 1 "native" "good" 5 FALSE
"a490ba35" "guta1guta8" 1 1 1 "guta" "diff" 3092 1 "native" "good" 5 FALSE
"a490ba35" "guta8guta1" 1 1 1 "guta" "diff" 3353 1 "native" "good" 5 FALSE
"a490ba35" "guta8guta8" 1 0 1 "guta" "same" 3288 1 "native" "good" 5 FALSE
"a490ba35" "lita1lita1" 1 0 1 "lita" "same" 4191 1 "native" "good" 5 FALSE
"a490ba35" "lita8lita1" 1 1 1 "lita" "diff" 2998 1 "native" "good" 5 FALSE
"a490ba35" "lita8lita8" 1 0 1 "lita" "same" 3300 1 "native" "good" 5 FALSE
"a490ba35" "lita1lita8" 1 1 1 "lita" "diff" 3836 1 "native" "good" 5 FALSE
"86aa5a0a" "guta1guta8" 0 1 1 "guta" "diff" 3776 1 "native" "good" 5 FALSE
"86aa5a0a" "guta8guta8" 0 0 1 "guta" "same" 3270 1 "native" "good" 5 FALSE
"86aa5a0a" "guta1guta1" 0 0 1 "guta" "same" 3429 1 "native" "good" 5 FALSE
"86aa5a0a" "guta8guta1" 0 1 1 "guta" "diff" 3261 1 "native" "good" 5 FALSE
"86aa5a0a" "lita1lita8" 0 1 1 "lita" "diff" 3441 1 "native" "good" 5 FALSE
"86aa5a0a" "lita8lita1" 0 1 1 "lita" "diff" 3401 1 "native" "good" 5 FALSE
"86aa5a0a" "lita8lita8" 0 0 1 "lita" "same" 2983 1 "native" "good" 5 FALSE
"86aa5a0a" "lita1lita1" 0 0 1 "lita" "same" 3657 1 "native" "good" 5 FALSE
"86aa5a0a" "guta1guta1" 1 0 1 "guta" "same" 4163 1 "native" "good" 5 FALSE
"86aa5a0a" "guta1guta8" 1 1 1 "guta" "diff" 2924 1 "native" "good" 5 FALSE
"86aa5a0a" "guta8guta8" 1 0 1 "guta" "same" 3208 1 "native" "good" 5 FALSE
"86aa5a0a" "guta8guta1" 1 0 0 "guta" "diff" 2909 1 "native" "good" 5 FALSE
"86aa5a0a" "lita1lita1" 1 0 1 "lita" "same" 2818 1 "native" "good" 5 FALSE
"86aa5a0a" "lita8lita8" 1 0 1 "lita" "same" 2586 1 "native" "good" 5 FALSE
"86aa5a0a" "lita8lita1" 1 1 1 "lita" "diff" 2947 1 "native" "good" 5 FALSE
"86aa5a0a" "lita1lita8" 1 1 1 "lita" "diff" 3144 1 "native" "good" 5 FALSE
"6607697d" "guta8guta8" 0 1 0 "guta" "same" 3814 0.875 "native" "good" 5 FALSE
"6607697d" "guta1guta1" 0 1 0 "guta" "same" 3878 0.875 "native" "good" 5 FALSE
"6607697d" "guta1guta8" 0 1 1 "guta" "diff" 3337 0.875 "native" "good" 5 FALSE
"6607697d" "guta8guta1" 0 1 1 "guta" "diff" 3228 0.875 "native" "good" 5 FALSE
"6607697d" "lita1lita1" 0 1 0 "lita" "same" 4907 0.875 "native" "good" 5 FALSE
"6607697d" "lita1lita8" 0 0 0 "lita" "diff" 4428 0.875 "native" "good" 5 FALSE
"6607697d" "lita8lita1" 0 0 0 "lita" "diff" 6103 0.875 "native" "good" 5 FALSE
"6607697d" "lita8lita8" 0 0 1 "lita" "same" 3469 0.875 "native" "good" 5 FALSE
"6607697d" "guta1guta8" 1 0 0 "guta" "diff" 6895 0.875 "native" "good" 5 FALSE
"6607697d" "guta8guta8" 1 0 1 "guta" "same" 7849 0.875 "native" "good" 5 FALSE
"6607697d" "guta8guta1" 1 0 0 "guta" "diff" 6890 0.875 "native" "good" 5 FALSE
"6607697d" "guta1guta1" 1 0 1 "guta" "same" 3997 0.875 "native" "good" 5 FALSE
"6607697d" "lita1lita1" 1 0 1 "lita" "same" 3672 0.875 "native" "good" 5 FALSE
"6607697d" "lita8lita8" 1 0 1 "lita" "same" 3602 0.875 "native" "good" 5 FALSE
"6607697d" "lita8lita1" 1 0 0 "lita" "diff" 5815 0.875 "native" "good" 5 FALSE
"6607697d" "lita1lita8" 1 0 0 "lita" "diff" 8048 0.875 "native" "good" 5 FALSE
"4c9d584d" "guta8guta1" 0 1 1 "guta" "diff" 5792 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta1guta1" 0 1 0 "guta" "same" 3677 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta1guta8" 0 1 1 "guta" "diff" 3876 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta8guta8" 0 1 0 "guta" "same" 4136 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita1lita8" 0 1 1 "lita" "diff" 4459 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita8lita1" 0 1 1 "lita" "diff" 4044 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita8lita8" 0 1 0 "lita" "same" 4516 0.75 "native" "good" 5 FALSE
"4c9d584d" "lita1lita1" 0 1 0 "lita" "same" 4973 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta8guta1" 1 0 0 "guta" "diff" 3526 0.75 "native" "good" 5 FALSE
"4c9d584d" "guta1guta1" 1 0 1 "guta" "same" 2810 0.75 "native" "good" 5 FALSE
